dbn,lat,long,2007type,2007enrollment,2007pi,2007overall,2007progress,2007performance,2007environment,2008type,2008enrollment,2008pi,2008overall,2008progress,2008performance,2008environment,2009type,2009enrollment,2009pi,2009overall,2009progress,2009performance,2009environment,2010type,2010enrollment,2010pi,2010overall,2010progress,2010performance,2010environment,2011type,2011enrollment,2011pi,2011overall,2011progress,2011performance,2011environment
18K279,40.644134,-73.892797,Elementary,812,61.6838488,36.20689655,37.80068729,58.59106529,14.604811,Elementary,739,60.78098472,42.39316239,39.31623932,41.53846154,33.16239316,Elementary,636,60.53511706,27.53378378,30.91216216,37.16216216,8.783783784,Elementary,619,48.74371859,26.8907563,23.69747899,49.91596639,26.2184874,Elementary,599,46.26865672,23.15436242,30.53691275,50.33557047,7.88590604
18K276,40.634005,-73.908436,Elementary,928,59.79381443,35.34482759,41.2371134,42.26804124,15.12027491,Elementary,876,50.42444822,72.99145299,79.65811966,64.95726496,43.58974359,Elementary,828,50.50167224,38.17567568,32.09459459,68.91891892,60.97972973,Elementary,823,49.74874372,26.05042017,31.93277311,42.68907563,25.21008403,Elementary,802,50.08291874,74.66442953,82.71812081,33.89261745,59.39597315
18K272,40.635542,-73.886373,Elementary,803,35.395189,1.379310345,5.326460481,1.374570447,6.18556701,Elementary,752,40.74702886,92.30769231,99.14529915,15.55555556,7.008547009,Elementary,590,40.96989967,21.95945946,55.06756757,21.62162162,5.912162162,Elementary,645,28.47571189,38.99159664,47.05882353,30.25210084,15.29411765,Elementary,649,22.71973466,0.838926174,2.852348993,11.0738255,11.57718121
28Q099,40.711502,-73.827722,Elementary,741,73.02405498,51.20689655,47.25085911,61.8556701,45.36082474,Elementary,752,75.55178268,90.5982906,92.30769231,72.99145299,34.7008547,Elementary,747,75.91973244,97.63513514,100,68.91891892,41.89189189,Elementary,778,72.52931323,90.25210084,86.72268908,82.18487395,46.55462185,Elementary,801,76.11940299,87.58389262,89.93288591,84.39597315,46.6442953
03M199,40.777603,-73.984423,Elementary,687,96.04810997,92.5862069,90.20618557,82.64604811,70.27491409,K-8,721,97.84172662,76.25899281,64.02877698,91.36690647,82.01438849,K-8,662,97.81021898,70.80291971,78.10218978,83.21167883,81.02189781,Elementary,735,98.6599665,87.89915966,91.93277311,78.48739496,43.69747899,Elementary,774,98.00995025,85.06711409,81.04026846,91.61073826,60.40268456
02M575,40.732699,-73.984333,,,,,,,,HST,911,78.78787879,96.2962963,92.59259259,66.66666667,70.37037037,HST,772,80,75,87.5,37.5,68.75,HST,862,81.81818182,94.87179487,71.79487179,69.23076923,74.35897436,HST,826,91.4893617,71.05263158,60.52631579,39.47368421,78.94736842
03M191,40.771603,-73.987515,K-8,502,58.82352941,88.13559322,88.23529412,53.78151261,67.22689076,K-8,498,50.35971223,41.72661871,47.48201439,30.9352518,51.07913669,K-8,256,48.17518248,50.3649635,48.90510949,47.44525547,81.02189781,K-8,445,52.02702703,22.2972973,35.81081081,12.83783784,22.2972973,K-8,441,53.5483871,21.56862745,27.45098039,25.49019608,9.150326797
17K353,40.674685,-73.961418,Middle,193,26.68810289,80.27681661,93.87096774,32.79742765,77.56410256,Middle,187,26.03550296,87.73584906,86.79245283,76.10062893,88.05031447,Middle,174,27.696793,37.08206687,40.42553191,54.10334347,44.98480243,Middle,151,4.644808743,90.64327485,97.36842105,58.47953216,75.14619883,Middle,141,5.897435897,48.18941504,48.74651811,47.63231198,81.61559889
17K352,40.665199,-73.959484,Middle,510,12.54019293,53.63321799,71.93548387,8.360128617,45.83333333,Middle,468,5.621301775,60.06289308,59.11949686,26.10062893,23.89937107,Middle,448,5.83090379,77.81155015,72.03647416,46.50455927,44.98480243,Middle,417,19.94535519,52.63157895,66.08187135,21.05263158,33.62573099,Middle,407,28.71794872,64.62395543,81.61559889,29.80501393,38.71866295
17K354,40.67229,-73.937601,Middle,190,2.572347267,58.82352941,80.64516129,17.36334405,51.28205128,Middle,264,1.775147929,29.24528302,31.76100629,41.82389937,47.79874214,Middle,248,1.749271137,87.53799392,80.85106383,100,61.39817629,Middle,232,3.278688525,94.15204678,97.95321637,75.43859649,75.73099415,Middle,254,4.358974359,74.93036212,68.24512535,71.86629526,58.77437326
84X389,40.823014,-73.922527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EC,199,54.54545455,33.33333333,38.46153846,46.15384615,41.02564103
27Q197,40.599664,-73.744128,Elementary,524,17.01030928,60.17241379,61.34020619,21.13402062,37.11340206,Elementary,479,17.31748727,50.08547009,68.37606838,19.48717949,36.92307692,Elementary,456,17.72575251,65.2027027,68.91891892,20.43918919,55.57432432,Elementary,495,8.207705193,87.05882353,95.6302521,42.68907563,17.98319328,Elementary,522,9.286898839,15.93959732,23.32214765,21.6442953,13.9261745
29Q494,40.698786,-73.74633,HS,509,56.26911315,31.3559322,33.63914373,56.77966102,8.562691132,HS,535,57.46478873,14.43661972,18.66197183,14.78873239,7.746478873,HS,530,55.78947368,30.64516129,19.35483871,55.48387097,48.06451613,HS,502,39.75609756,3.915662651,1.204819277,34.63855422,2.108433735,HS,430,39.76470588,6.626506024,2.409638554,23.19277108,34.63855422
75K771,40.58026,-73.955856,,,,,,,,,,,,,,,,,,,,,,D75,354,,92.85714286,89.28571429,96.42857143,100,D75,348,,55.55555556,37.03703704,74.07407407,88.88888889
27Q202,40.670905,-73.845992,Middle,1186,66.55948553,44.6366782,29.67741935,82.31511254,41.66666667,Middle,1144,72.18934911,51.25786164,41.19496855,52.20125786,45.91194969,Middle,1070,72.88629738,79.63525836,64.1337386,67.47720365,42.55319149,Middle,1096,79.23497268,58.77192982,54.09356725,73.97660819,45.32163743,Middle,1109,80,41.78272981,39.27576602,54.31754875,32.86908078
05M670,40.815237,-73.944299,Middle,579,68.46367149,44.9775673,43.83200158,40.6609352,85.30345801,High School Combination,973,71.05967164,27.93648685,33.04212065,26.33426344,62.2054655,High School Combination,583,70.98780114,20.47749779,15.22011962,45.74958329,83.75036768,High School Combination,570,70.09929362,26.08151906,32.46406679,32.06862538,64.35390686,High School Combination,580,72.30316742,37.30744706,38.05710306,45.90520858,53.78477699
27Q207,40.657736,-73.843881,K-8,742,96.63865546,59.3220339,44.53781513,73.1092437,51.2605042,K-8,748,95.68345324,35.97122302,33.09352518,38.1294964,47.48201439,K-8,699,95.62043796,72.99270073,88.32116788,43.79562044,47.44525547,K-8,705,96.62162162,77.02702703,75,81.75675676,44.59459459,K-8,739,96.12903226,30.71895425,24.83660131,64.70588235,41.83006536
84K740,40.669356,-73.867138,,,,,,,,,,,,,,,,,,,,,,Elementary,192,54.94137353,,,,,Elementary,249,54.22885572,54.02684564,43.45637584,62.24832215,94.63087248
84K742,40.67271,-73.928917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EC,223,45.45454545,51.28205128,46.15384615,61.53846154,51.28205128
84K744,40.582518,-73.972009,,,,,,,,,,,,,,,,,,,,,,Middle,90,58.19672131,,,,,Middle,179,59.23076923,98.88579387,94.70752089,94.98607242,94.15041783
18K576,40.634451,-73.916927,,,,,,,,HS,81,64.22535211,,,,,HS,159,63.15789474,,,,,HS,246,50.73170732,,,,,HS,332,50.11764706,89.75903614,94.27710843,73.79518072,86.14457831
